;Lane;Task;Verb;NounPhrases;Label;
16332;Acc Rec;Generate month invoice;Generate;month invoice;;
16333;Registry;Archive invoice by vendor;;Archive invoice by vendor;;
16334;Registry;Invoice Validated;Validated;Invoice;Starts with subject;
16335;Registry;Archive invoice payment date;;Archive invoice payment date;;
16336;Vendor;Confirm client details;Confirm;client details;;
16337;Vendor;Send electronic invoice;Send;electronic invoice;;
16338;SAP System;Intrepret data;;Intrepret data;;
16339;SAP System;Transfer data automatically from invoice into SAP;;Transfer data|invoice into SAP;;
16340;SAP System;Sort Inovoices;;Sort Inovoices;;
16341;SAP System;Add any new invoices automatically to the SAP system;Add;new invoices|SAP system;;
16342;SAP System;Pioritise important invoices;;Pioritise important invoices;;
16343;SAP System;Enter important invoices;Enter;important invoices;;
16344;SAP System;Automated payment report generated;generated;Automated payment report;Starts with subject;
16345;SAP System;Pre-populate SLA;;Pre-populate SLA;;
16346;SAP System;Process validation;;Process validation;;
16347;Data Entry;Review & asses data;;Review|asses data;Conjunctive clause;
16348;Data Entry;Fix errors;Fix;errors;;
16349;Data Entry;Compares report with original invoice;Compares;report with original invoice;;
16350;Data Entry;Change status of invoice to validated;validated;Change status of invoice;Starts with subject;
16351;Admin officer;Review invoices 0≤$2500;;Review invoices 0 ≤;;
16352;Admin officer;confirm SLA;confirm;SLA;;
16353;Client;Succeful Payment of invoices;;Succeful Payment of invoices;;
16354;Charles;checking if correct;checking;;Condition;
16355;Charles;Add incoming Mail number, date;Add;incoming Mail number|date;Conjunctive clause;
16356;Charles;Records the letter in letter book and archives it;;Records the letter|letter book|archives;Conjunctive clause;
16357;Charles;Take letter, and member register to Minranda;Take;letter|member register to Minranda;Conjunctive clause;
16358;Charles;add new member to registry;add;new member to registry;;
16359;Charles;write down the amount to the registry;write down;amount to the registry;;
16360;Charles;write letter why applicant not become member;write;letter why applicant|member;;
16361;Charles;takes member registry home and prepares invoice;takes;member registry|invoice;Conjunctive clause;
16362;Charles;prints membership card when payment is succeeded;succeeded;prints membership card when payment;Starts with subject;
16363;Charles;sent card;sent;card;;
16364;Miranda;Decides if person becomes a member;Decides;person|member;Condition;
16365;Miranda;Stamps new member on letter and writes day to it;;Stamps new member on letter|writes day to;Conjunctive clause;
16366;Miranda;Hands Letter to Charles;;Hands Letter to Charles;;
16367;Miranda;Calculate membership fee;Calculate;membership fee;;
16368;Charles;picking 1 application;picking;application;;
16369;Charles;taking all applications;taking;applications;;
16370;Miranda;Decides if person becomes a member for everyone;Decides;person|member for;Condition;
16371;Controlling;Investitions-planung (TP 02.01);;Investitions|planung|TP 02.01;;
16372;Mail Centre;Deliver Mail;Deliver;Mail;;
16373;Mail Centre;Collect Mail;Collect;Mail;;
16374;Data Entry Staff;Collect Invoices (from Admin Officer);Collect;Invoices|Admin Officer;;
16375;Data Entry Staff;Call Client to Confirm Invoice Discrepencies;Confirm;Call Client|Invoice Discrepencies;Starts with subject;
16376;Admin Officer;Disregard Invoice;;Disregard Invoice;;
16377;Admin Officer;Evaluate Invoice Non Compliance;Evaluate;Invoice Non Compliance;;
16378;Master Data Entry Department;Create SAP Master Vendor Record;Create;SAP Master Vendor Record;;
16379;Validation Officer;Send Invoice to Registry;Send;Invoice to Registry;;
16380;Validation Officer;Update Employee Error Log;;Update Employee Error Log;;
16381;Validation Officer;Return to Data Entry Officer;Return to;Data Entry Officer;;
16382;Payment Office;Generate Weekly Payment Report;Generate;Weekly Payment Report;;
16383;Payment Office;Send to Accounts Receivable;Send to;Accounts Receivable;;
16384;Payment Office;Send to Registry;Send to;Registry;;
16385;Payment Office;Pay Invoices;Pay;Invoices;;
16386;Accounts Receivable;Generate Services Invoice;Generate;Services Invoice;;
16387;Registry;Archive Invoice Documentation;;Archive Invoice Documentation;;
16388;Registry;Retrieve Invoice;Retrieve;Invoice;;
16389;Teacher;Check process assign point;Check;process assign point;;
16390;Teacher;Consult project, Check progress;Consult;project|progress;Conjunctive clause;
16391;Student;Extend their processes to L 2, 3;Extend;processes to;Conjunctive clause;
16392;Teacher;Assign negative points;Assign;negative points;;
16393;Foreign University;Receive collaboration request;Receive;collaboration request;;
16394;Foreign University;Check free positions;Check;free positions;;
16395;Foreign University;Create cooperation;Create;cooperation;;
16396;Foreign University;cooperation confirmed;confirmed;cooperation;Starts with subject;
16397;Foreign University;Send decision;Send;decision;;
16398;Foreign University;Studing at foreign university;Studing at;foreign university;;
16399;Foreign studies department;Create cooperation;Create;cooperation;;
16400;Foreign studies department;Send offer to students;Send;offer to students;;
16401;Foreign studies department;Exam;;Exam;;
16402;Foreign studies department;Receive decision;Receive;decision;;
16403;Foreign studies department;Send collaboration request;Send;collaboration request;;
16404;Student;Receive offer;Receive;offer;;
16405;Student;Preparing for foreign studies;Preparing for;foreign studies;;
16406;Foreign studies department;Receive evaluation of foriegn studies;Receive;evaluation of foriegn studies;;
16407;Student;Studing at foreign university;Studing at;foreign university;;
16408;University;Send invitation to study postgraduate study program to all graduates;Send;invitation|study postgraduate study program to all graduates;;
16409;University;Receive response;Receive;response;;
16410;University;Count the amount of candidates;Count;amount of candidates;;
16411;University;Set the limit of postgraduate students for the next year;Set;limit of postgraduate students|next year;;
16412;University;Choose the best candidates;Choose;best candidates;;
16413;University;Take them all;Take;;;
16414;University IS;Send invitation to study postgraduate study program to all graduates;Send;invitation|study postgraduate study program to all graduates;;
16415;University IS;Receive response;Receive;response;;
16416;University IS;Count the amount of candidates;Count;amount of candidates;;
16417;University IS;Set the limit of postgraduate students for the next year;Set;limit of postgraduate students|next year;;
16418;University IS;Choose the best candidates;Choose;best candidates;;
16419;University IS;Take them all;Take;;;
16420;University IS;Send result;Send;result;;
16421;Postgraduate studies department;Solve problem;Solve;problem;;
16422;Postgraduate students;Study postgraduate studies;;Study postgraduate studies;;
16423;Postgraduate students;Contact postgraduate studies department;Contact;postgraduate studies department;;
16424;Postgraduate students;Succesfully finish opstgraduate studies;finish;opstgraduate studies;Starts with subject;
16425;Graduates of master's degree;Receive result;Receive;result;;
16426;University IS;Receive application;Receive;application;;
16427;Postgraduate students;Succesfully finish postgraduate studies;finish;postgraduate studies;Starts with subject;
16428;Graduates of master's degree;Receive invitation;Receive;invitation;;
16429;Graduates of master's degree;Decide;Decide;;;
16430;Graduates of master's degree;Send application;Send;application;;
16431;University;Set new limit of students for postgraduate studies;Set;new limit of students|postgraduate studies;;
16432;University;Check for interrest;Check for;interrest;;
16433;University;Create list of applicants;Create;list of applicants;;
16434;University;Choose best students;Choose;best students;;
16435;University;Take all;Take;;;
16436;University;Create list of postgraduate students;Create;list of postgraduate students;;
16437;University;Provide students with postgraduate studies;Provide;students with postgraduate studies;;
16438;University;Solve problem at postgraduate studies department;Solve;problem at postgraduate studies department;;
16439;University;Succesfully finish studies;finish;studies;Starts with subject;
16440;Postgraduate studies department;Set mamximum of postgarduate students;Set;mamximum of postgarduate students;;
16441;Postgraduate studies department;Enter number of applicants;Enter;number of applicants;;
16442;Postgraduate studies department;Send invitations;Send;invitations;;
16443;Postgraduate studies department;Enter email address;Enter;email address;;
16444;Postgraduate studies department;Retype email;;Retype email;;
16445;IS;write amount of applicants into the database;write;amount of applicants|database;;
16446;IS;Choose the best applicants;Choose;best applicants;;
16447;IS;Email verification;;Email verification;;
16448;Provide students with postgraduate studies;problem occured;occured;problem;Starts with subject;
16449;Provide students with postgraduate studies;Solve student problem;Solve;student problem;;
16450;Provide students with postgraduate studies;Succesfully finish studies;finish;studies;Starts with subject;
16451;Patient;Make Appointment;Make;Appointment;;
16452;Patient;Request New Appointment;;Request New Appointment;;
16453;Patient;No Worries;;Worries;;
16454;Specialist;Visit Specialist;;Visit Specialist;;
16455;Specialist;Record Symptoms;;Record Symptoms;;
16456;Specialist;X-Ray Required;Required;X|Ray;Starts with subject;
16457;Specialist;Send X-Ray to Specialist;Send;X|Ray to Specialist;;
16458;Specialist;Evaluate Test Result;Evaluate;Test Result;;
16459;Specialist;Start Normal Treatment;Start;Normal Treatment;;
16460;Specialist;Start Emergency Treatment;Start;Emergency Treatment;;
16461;Radiologist;Refer to Radiologist;Refer to;Radiologist;;
16462;Radiologist;Take X-Ray;Take;X|Ray;;
16463;Radiologist;Request CT-Scan;;Request CT|Scan;;
16464;Radiologist;Request Another X-Ray;Request;X|Ray;;
16465;Student;Extend process to level 2, 3;Extend;process to level 2;Conjunctive clause;
16466;International Student;Send Application;Send;Application;;
16467;International Student;Receive Notification;Receive;Notification;;
16468;International Student;Receive Refusal Letter;Receive;Refusal Letter;;
